reading_plan_id,day,book_id,chapter,first_verse,last_verse
1,187,41,13,14,37
1,187,11,7,,
1,187,28,9,1,16
1,188,41,14,1,31
1,188,11,8,,
1,188,28,9,,17
1,188,28,10,,
1,189,41,14,32,72
1,189,11,9,,
1,189,28,11,1,11
1,190,41,15,1,20
1,190,11,10,,
1,190,28,11,,12
1,190,28,12,,
1,191,41,15,21,47
1,191,11,11,,
1,191,28,13,,
1,192,41,16,,
1,192,11,12,1,31
1,192,28,14,,
1,193,46,1,1,17
1,193,11,12,32,33
1,193,11,13,,
1,193,29,1,,
1,194,46,1,18,31
1,194,11,14,,
1,194,29,2,1,11
1,195,46,2,,
1,195,11,15,1,32
1,195,29,2,12,32
1,196,46,3,,
1,196,11,15,33,34
1,196,11,16,,
1,196,29,3,,
1,197,46,4,,
1,197,11,17,,
1,197,30,1,,
1,198,46,5,,
1,198,11,18,,
1,198,30,2,,
1,198,30,3,1,2
1,199,46,6,,
1,199,11,19,,
1,199,30,3,3,15
1,199,30,4,1,3
1,200,46,7,1,24
1,200,11,20,,
1,200,30,4,4,13
1,201,46,7,25,40
1,201,11,21,,
1,201,30,5,,
1,202,46,8,,
1,202,11,22,,
1,202,30,6,,
1,203,46,9,,
1,203,12,1,,
1,203,12,2,,
1,203,30,7,,
1,204,46,10,,
1,204,12,3,,
1,204,30,8,,
1,205,46,11,1,16
1,205,12,4,,
1,205,30,9,,
1,206,46,11,17,34
1,206,12,5,,
1,206,31,1,,
1,207,46,12,,
1,207,12,6,,
1,207,12,7,1,2
1,207,32,1,,
1,208,46,13,,
1,208,12,7,3,20
1,208,32,2,,
1,209,46,14,1,25
1,209,12,8,,
1,209,32,3,,
1,210,46,14,26,40
1,210,12,9,,
1,210,32,4,,
1,211,46,15,1,34
1,211,12,10,,
1,211,33,1,,
1,212,46,15,35,58
1,212,12,11,,
1,212,33,2,,
1,213,46,16,,
1,213,12,12,,
1,213,12,13,,
1,213,33,3,,
1,214,47,1,,
1,214,47,2,1,4
1,214,12,14,,
1,214,33,4,,
1,214,33,5,,1
1,215,47,2,5,17
1,215,47,3,,
1,215,12,15,,
1,215,12,16,,
1,215,33,5,2,15
1,216,47,4,,
1,216,47,5,1,10
1,216,12,17,,
1,216,33,6,,
1,217,47,5,11,21
1,217,47,6,1,13
1,217,12,18,,
1,217,33,7,,
1,218,47,6,14,18
1,218,47,7,,
1,218,12,19,,
1,218,34,1,,
1,219,47,8,,
1,219,12,20,,
1,219,12,21,,
1,219,34,2,,
1,220,47,9,,
1,220,12,22,,
1,220,12,23,1,34
1,220,34,3,,
1,221,47,10,,
1,221,12,23,35,37
1,221,12,24,,
1,221,35,1,,
1,222,47,11,,
1,222,12,25,,
1,222,35,2,,
1,223,47,12,,
1,223,13,1,,
1,223,13,2,,
1,223,35,3,,
1,224,47,13,,
1,224,13,3,,
1,224,13,4,,
1,224,36,1,,
1,225,43,1,1,18
1,225,13,5,,
1,225,13,6,,
1,225,36,2,,
1,226,43,1,19,34
1,226,13,7,,
1,226,13,8,,
1,226,36,3,,
1,227,43,1,35,51
1,227,13,9,,
1,227,37,1,,
1,227,37,2,,
1,228,43,2,,
1,228,13,10,,
1,228,13,11,,
1,228,38,1,,
1,229,43,3,1,21
1,229,13,12,,
1,229,38,2,,
1,230,43,3,22,36
1,230,13,13,,
1,230,13,14,,
1,230,38,3,,
1,231,43,4,1,26
1,231,13,15,,
1,231,13,16,1,7
1,231,38,4,,
1,232,43,4,27,42
1,232,13,16,8,43
1,232,38,5,,
1,233,43,4,43,54
1,233,13,17,,
1,233,38,6,,
1,234,43,5,1,18
1,234,13,18,,
1,234,13,19,,
1,234,38,7,,
1,235,43,5,19,47
1,235,13,20,,
1,235,13,21,,
1,235,38,8,,
1,236,43,6,1,24
1,236,13,22,,
1,236,13,23,,
1,236,38,9,,
1,237,43,6,25,59
1,237,13,24,,
1,237,38,10,,
1,238,43,6,60,71
1,238,13,25,,
1,238,13,26,,
1,238,38,11,,
1,239,43,7,1,24
1,239,13,27,,
1,239,13,28,,
1,239,38,12,,
1,240,43,7,25,52
1,240,13,29,,
1,240,38,13,,
1,241,43,8,1,20
1,241,14,1,,
1,241,14,2,1,16
1,241,38,14,,
1,242,43,8,21,47
1,242,14,2,,17
1,242,14,3,,
1,242,14,4,,
1,242,14,5,,1
1,242,39,1,,
1,242,39,2,1,9
1,243,43,8,48,59
1,243,14,5,2,14
1,243,39,2,10,16
1,244,43,9,1,23
1,244,14,6,,
1,244,39,2,,17
1,244,39,3,,
1,245,43,9,24,41
1,245,14,7,,
1,245,39,4,,
1,246,43,10,1,21
1,246,14,8,,
1,246,19,73,,
1,247,43,10,22,42
1,247,14,9,,
1,247,19,74,,
1,248,43,11,1,27
1,248,14,10,,
1,248,14,11,,
1,248,19,75,,
1,249,43,11,28,57
1,249,14,12,,
1,249,14,13,,
1,249,19,76,,
1,250,43,12,1,26
1,250,14,14,,
1,250,14,15,,
1,250,19,77,,
1,251,43,12,27,50
1,251,14,16,,
1,251,14,17,,
1,251,19,78,1,20
1,252,43,13,1,20
1,252,14,18,,
1,252,19,78,21,37
1,253,43,13,21,38
1,253,14,19,,
1,253,19,78,38,55
1,254,43,14,1,14
1,254,14,20,,
1,254,14,21,,1
1,254,19,78,56,72
1,255,43,14,15,31
1,255,14,21,2,20
1,255,14,22,,
1,255,19,79,,
1,256,43,15,,
1,256,43,16,1,4
1,256,14,23,,
1,256,19,80,,
1,257,43,16,4,33
1,257,14,24,,
1,257,19,81,,
1,258,43,17,,
1,258,14,25,,
1,258,19,82,,
1,259,43,18,1,18
1,259,14,26,,
1,259,19,83,,
1,260,43,18,19,38
1,260,14,27,,
1,260,14,28,,
1,260,19,84,,
1,261,43,18,38,40
1,261,43,19,1,16
1,261,14,29,,
1,261,19,85,,
1,262,43,19,16,42
1,262,14,30,,
1,262,19,86,,
1,263,43,20,1,18
1,263,14,31,,
1,263,19,87,,
1,264,43,20,19,31
1,264,14,32,,
1,264,19,88,,
1,265,43,21,,
1,265,14,33,,
1,265,19,89,1,18
1,266,62,1,,
1,266,14,34,,
1,266,19,89,19,37
1,267,62,2,,
1,267,14,35,,
1,267,19,89,38,52
1,268,62,3,,
1,268,14,36,,
1,268,19,90,,
1,269,62,4,,
1,269,15,1,,
1,269,15,2,,
1,269,19,91,,
1,270,62,5,,
1,270,15,3,,
1,270,15,4,,
1,270,19,92,,
1,271,63,1,,
1,271,15,5,,
1,271,15,6,,
1,271,19,93,,
1,272,64,1,,
1,272,15,7,,
1,272,15,8,,
1,272,19,94,,
1,273,65,1,,
1,273,15,9,,
1,273,15,10,,
1,273,19,95,,
1,274,66,1,,
1,274,16,1,,
1,274,16,2,,
1,274,19,96,,
1,275,66,2,,
1,275,16,3,,
1,275,19,97,,
1,276,66,3,,
1,276,16,4,,
1,276,19,98,,
1,277,66,4,,
1,277,16,5,,
1,277,16,6,,
1,277,16,7,1,3
1,277,19,99,,
1,278,66,5,,
1,278,16,7,4,73
1,278,16,8,1,12
1,278,19,100,,
1,279,66,6,,
1,279,16,8,13,18
1,279,16,9,1,37
1,279,19,101,,
1,280,66,7,1,17
1,280,16,9,,38
1,280,16,10,1,39
1,280,19,102,1,28
1,281,66,8,1,13
1,281,16,11,1,36
1,281,19,103,,
1,282,66,9,,
1,282,16,12,,
1,282,19,104,1,23
1,283,66,10,,
1,283,16,13,,
1,283,19,104,24,35
1,284,66,11,,
1,284,17,1,,
1,284,19,105,1,25
1,285,66,12,,
1,285,17,2,,
1,285,19,105,26,45
1,286,66,13,,
1,286,17,3,,
1,286,17,4,,
1,286,19,106,1,23
1,287,66,14,,
1,287,17,5,,
1,287,17,6,1,13
1,287,19,106,24,48
1,288,66,15,,
1,288,17,6,,14
1,288,17,7,,
1,288,17,8,,
1,288,19,107,1,22
1,289,66,16,,
1,289,17,9,,
1,289,17,10,,
1,289,19,107,23,43
1,290,66,17,,
1,290,23,1,,
1,290,23,2,,
1,290,19,108,,
1,291,66,18,,
1,291,23,3,,
1,291,23,4,,
1,291,19,109,1,19
1,292,66,19,,
1,292,23,5,,
1,292,23,6,,
1,292,19,109,20,31
1,293,66,20,,
1,293,23,7,,
1,293,23,8,,
1,293,19,110,,
1,294,66,21,,
1,294,66,22,,
1,294,23,9,,
1,294,23,10,,
1,294,19,111,,
1,295,52,1,,
1,295,23,11,,
1,295,23,12,,
1,295,23,13,,
1,295,19,112,,
1,296,52,2,1,16
1,296,23,14,,
1,296,23,15,,
1,296,23,16,,
1,296,19,113,,
1,297,52,2,17,20
1,297,52,3,,
1,297,23,17,,
1,297,23,18,,
1,297,23,19,,
1,297,19,114,,
1,298,52,4,,
1,298,23,20,,
1,298,23,21,,
1,298,23,22,,
1,298,19,115,,
1,299,52,5,,
1,299,23,23,,
1,299,23,24,,
1,299,19,116,,
1,300,53,1,,
1,300,23,25,,
1,300,23,26,,
1,300,19,117,,
1,301,53,2,,
1,301,23,27,,
1,301,23,28,,
1,301,19,118,,
1,302,53,3,,
1,302,23,29,,
1,302,23,30,,
1,302,19,119,1,32
1,303,54,1,,
1,303,23,31,,
1,303,23,32,,
1,303,23,33,,
1,303,19,119,33,64
1,304,54,2,,
1,304,23,34,,
1,304,23,35,,
1,304,19,119,65,96
1,305,54,3,,
1,305,23,36,,
1,305,23,37,,
1,305,19,119,97,120
1,306,54,4,,
1,306,23,38,,
1,306,23,39,,
1,306,19,119,121,144
1,307,54,5,1,20
1,307,24,1,,
1,307,24,2,,
1,307,19,119,145,176
1,308,54,5,21,25
1,308,54,6,,
1,308,24,3,,
1,308,24,4,,
1,308,19,120,,
1,309,55,1,,
1,309,24,5,,
1,309,24,6,,
1,309,19,121,,
1,310,55,2,,
1,310,24,7,,
1,310,24,8,,
1,310,19,122,,
1,311,55,3,,
1,311,24,9,,
1,311,24,10,,
1,311,19,123,,
1,312,55,4,,
1,312,24,11,,
1,312,24,12,,
1,312,19,124,,
1,313,56,1,,
1,313,24,13,,
1,313,24,14,,
1,313,19,125,,
1,314,56,2,,
1,314,24,15,,
1,314,24,16,,
1,314,19,126,,
1,315,56,3,,
1,315,24,17,,
1,315,24,18,,
1,315,19,127,,
1,316,57,1,,
1,316,24,19,,
1,316,24,20,,
1,316,19,128,,
1,317,59,1,,
1,317,24,21,,
1,317,24,22,,
1,317,19,129,,
1,318,59,2,,
1,318,24,23,,
1,318,24,24,,
1,318,19,130,,
1,319,59,3,,
1,319,24,25,,
1,319,24,26,,
1,319,19,131,,
1,320,59,4,,
1,320,24,27,,
1,320,24,28,,
1,320,19,132,,
1,321,59,5,,
1,321,24,29,,
1,321,24,30,,
1,321,19,133,,
1,322,60,1,,
1,322,24,31,,
1,322,24,32,,
1,322,19,134,,
1,323,60,2,,
1,323,24,33,,
1,323,24,34,,
1,323,19,135,,
1,324,60,3,,
1,324,24,35,,
1,324,24,36,,
1,324,19,136,,
1,325,60,4,,
1,325,24,37,,
1,325,24,38,,
1,325,19,137,,
1,326,60,5,,
1,326,24,39,,
1,326,24,40,,
1,326,19,138,,
1,327,61,1,,
1,327,24,41,,
1,327,24,42,,
1,327,19,139,,
1,328,61,2,,
1,328,24,43,,
1,328,24,44,,
1,328,19,140,,
1,329,61,3,,
1,329,24,45,,
1,329,24,46,,
1,329,19,141,,
1,330,48,1,,
1,330,24,47,,
1,330,24,48,,
1,330,19,142,,
1,331,48,2,,
1,331,24,49,,
1,331,24,50,,
1,331,19,143,,
1,332,48,3,1,20
1,332,24,51,,
1,332,24,52,,
1,332,19,144,,
1,333,48,3,21,29
1,333,48,4,1,20
1,333,25,1,,
1,333,25,2,,
1,333,19,145,,
1,334,48,4,21,31
1,334,25,3,,
1,334,25,4,,
1,334,19,146,,
1,335,48,5,,
1,335,25,5,,
1,335,19,147,,
1,336,48,5,16,26
1,336,26,1,,
1,336,19,148,,
1,337,48,6,,
1,337,26,2,,
1,337,26,3,,
1,337,19,149,,
1,338,49,1,,
1,338,26,4,,
1,338,26,5,,
1,338,19,150,,
1,339,49,2,,
1,339,26,6,,
1,339,26,7,,
1,339,23,40,,
1,340,49,3,,
1,340,26,8,,
1,340,26,9,,
1,340,23,41,,
1,341,49,4,1,16
1,341,26,10,,
1,341,26,11,,
1,341,23,42,,
1,342,49,4,17,32
1,342,26,12,,
1,342,26,13,,
1,342,23,43,,
1,343,49,5,1,20
1,343,26,14,,
1,343,26,15,,
1,343,23,44,,
1,344,49,5,21,33
1,344,26,16,,
1,344,23,45,,
1,345,49,6,,
1,345,26,17,,
1,345,23,46,,
1,346,50,1,1,11
1,346,26,18,,
1,346,23,47,,
1,347,50,1,12,30
1,347,26,19,,
1,347,23,48,,
1,348,50,2,1,11
1,348,26,20,,
1,348,23,49,,
1,349,50,2,12,30
1,349,26,21,,
1,349,26,22,,
1,349,23,50,,
1,350,50,3,,
1,350,26,23,,
1,350,23,51,,
1,351,50,4,,
1,351,26,24,,
1,351,23,52,,
1,352,51,1,1,23
1,352,26,25,,
1,352,26,26,,
1,352,23,53,,
1,353,51,1,24,29
1,353,51,2,1,19
1,353,26,27,,
1,353,26,28,,
1,353,23,54,,
1,354,51,2,20,23
1,354,51,3,1,17
1,354,26,29,,
1,354,26,30,,
1,354,23,55,,
1,355,51,3,18,25
1,355,51,4,,
1,355,26,31,,
1,355,26,32,,
1,355,23,56,,
1,356,42,1,1,25
1,356,26,33,,
1,356,23,57,,
1,357,42,1,26,56
1,357,26,34,,
1,357,23,58,,
1,358,42,1,57,80
1,358,26,35,,
1,358,26,36,,
1,358,23,59,,
1,359,42,2,1,20
1,359,26,37,,
1,359,23,60,,
1,360,42,2,21,52
1,360,26,38,,
1,360,26,39,,
1,360,23,61,,
1,361,42,3,1,20
1,361,26,40,,
1,361,26,41,,
1,361,23,62,,
1,362,42,3,21,38
1,362,26,42,,
1,362,26,43,,
1,362,23,63,,
1,363,42,4,1,30
1,363,26,44,,
1,363,26,45,,
1,363,23,64,,
1,364,42,4,31,44
1,364,26,46,,
1,364,26,47,,
1,364,23,65,,
1,365,42,5,1,26
1,365,26,48,,
1,365,23,66,,
